labels,Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link
LEAP1T1,Fauxnance Client with the Key from the Environment,Story,High,"*Acceptance Criteria:* \\  \\ * Historical candles are pulled through GET /candles/{symbol} with the key read from FAUXNANCE_API_KEY and from nowhere else. \\ * Raw pulls are cached to disk so that a re-run costs nothing against the quota. \\  \\ *Tasks:* \\  \\ Build the client under src/analytics/fauxnance/, sending the key in the X-Api-Key header. \\ Copy .env.example at the repository root to .env, which is git-ignored, and put your key there. \\ Cache the raw response under .cache/ keyed by symbol and range, and read it back when it is already there. \\ Check GET /usage before assuming the API is broken, and GET /health, which needs no key, before assuming anything at all. \\  \\ *Notes:* \\  \\ * Cache the raw response, not the cleaned frame. Changing the transform is the thing you will do most this week and it should not need a fresh pull. \\ * The key is never a literal in source, never in a test, never in a fixture, never in a notebook you commit. A key that reaches a commit has to be revoked, and the history keeps it whether or not you revoke it.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Error Handling by Failure Class,Story,High,"*Acceptance Criteria:* \\  \\ * Rate-limit and error handling is present and distinguishes the four failure classes, and is not a bare try block. \\ * A teammate can tell from the logs which of the four happened without rerunning the pipeline. \\  \\ *Tasks:* \\  \\ Handle an exhausted quota: HTTP 429 with Retry-After. Stop and say so plainly. Sleeping until midnight inside a batch run is not recovery. \\ Handle a request that is wrong: another 4xx. Fail that symbol, keep the message and carry on with the others, because retrying repeats the mistake. \\ Handle nothing reaching the service: a connection error or timeout. Retry with a growing backoff and give up after a small number of attempts. \\ Handle a response that arrived and is wrong: HTTP 200 carrying a bad row. That belongs to the transform, which decides between dropping, quarantining and raising. \\ Never log the key.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,"Extract, Transform and Load as Three Separable Functions",Story,High,"*Acceptance Criteria:* \\  \\ * The pipeline is three functions in three modules, wired by a fourth that does nothing else, and each is individually callable. \\  \\ *Tasks:* \\  \\ Write extract so that it obtains raw responses and hands them on unchanged. It is the only part that needs a key and a network. \\ Write transform so that it takes data and returns data. It opens no socket, reads no environment variable and writes nowhere. \\ Write load so that it writes the result into the analytical store, and make it the only part that writes. \\ Record the three as module:function entries in the sprint README. \\ Give the pipeline an entry point a teammate can run without reading the source, and say which in a note at the bottom of claims.md. \\  \\ *Notes:* \\  \\ * A pipeline that fetches, cleans and writes in one function can only be tested against the live API, and when it produces a wrong number there is no way to ask which third of it was wrong.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Three Business Claims,Story,High,"*Acceptance Criteria:* \\  \\ * claims.md holds at least three claims, each stated as a sentence about the business that could turn out to be wrong, and each naming the chart artefact that supports it. \\  \\ *Tasks:* \\  \\ State what is true, of what, over what period and by how much, so that a reader could disagree and checking the data would settle it. \\ Name the artefact behind each claim, using a fragment where one file holds several charts. \\ Be ready to trace the numbers behind one claim back to the rows they came from. \\  \\ *Notes:* \\  \\ * A chart description is not a claim. It tells the reader what the picture is of and leaves them to work out whether anything follows. \\ * Be ready to answer what would have to be true for this claim to be wrong.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Charts a Non-Technical Reader Can Read Unaided,Story,Medium,"*Acceptance Criteria:* \\  \\ * Each claim is supported by a committed chart artefact that opens with no network and no build step. \\  \\ *Tasks:* \\  \\ Choose the chart type that fits each claim and write it out under src/analytics/dashboard/. \\ Label both axes with units, and title the chart with the finding rather than the variable names. \\ Remove unexplained abbreviations, tickers without a company name, and legend entries that only make sense to whoever wrote the query. \\ Commit the artefacts at the paths named in claims.md. \\  \\ *Notes:* \\  \\ * A dashboard that only exists while a notebook kernel is running cannot be assessed, and a chart that loads its library from a content delivery network is a blank page on a locked-down machine. \\ * The reader has your chart and no access to you.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,"pytest over the Transform, Including the Malformed Case",Story,High,"*Acceptance Criteria:* \\  \\ * pytest covers at least the transform step and includes at least one malformed-input case, and the suite never touches the network. \\  \\ *Tasks:* \\  \\ Use the canned responses in fixtures/, loaded by tests/conftest.py, one of which is deliberately corrupted. \\ Read fixtures/README.md, decide what your transform does with each defect it lists, then assert it. \\ Name the malformed-input test in the sprint README as a pytest node id, so anyone can run it on its own. \\ Delete tests/test_example_fixture_use.py once your own tests use the fixtures. \\  \\ *Unit Test Execution Paths:* \\  \\ # a valid payload transforms to the expected frame \\ # a row missing a required field is handled as your transform declares \\ # a row whose high is below its low is refused rather than loaded \\ # an empty response is handled without error \\  \\ *Notes:* \\  \\ * Dropping a row, quarantining it and raising are all defensible, and they are not equally defensible for all of the defects. \\ * A suite that needs the API to be up fails on a train and gets skipped by the third person who sees it fail.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Read the Analytical Star Schema,Story,Medium,"*Acceptance Criteria:* \\  \\ * The team can explain the star in contracts/analytics-schema.sql: one fact table, its three dimensions, the grain, and why the analytical store is separate from the operational one. \\  \\ *Tasks:* \\  \\ Read the description block at the top of contracts/analytics-schema.sql, including the portability rules and the loading notes. \\ Stand the schema up in DuckDB and load it with something small, so the shape is familiar before Sprint 7 loads it for real. \\ Record where the database file lives and what creates it, because Sprint 7 loads into the same one. \\  \\ *Notes:* \\  \\ * The schema is given because it is a modelling style you have not met yet, and because two teams inventing incompatible fact tables would make the Sprint 7 pipeline work unassessable. \\ * The analytical store is DuckDB. One file, no server, no account and no credentials, and it has real DECIMAL, so money does not arrive as a float. The schema is written in plain ANSI SQL rather than in DuckDB dialect, which is what would let the same model move to a hosted warehouse without a rewrite.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Packaging and a Clean-Environment Install,Story,Medium,"*Acceptance Criteria:* \\  \\ * The package installs into an empty environment and the test suite passes there. \\  \\ *Tasks:* \\  \\ Record the three pipeline functions and the malformed-input test node id in the sprint README. \\ Build a scratch virtual environment, install the package into it and run your suite there. It needs no database and never calls Fauxnance. \\ Fix what fails and rerun until clean. \\  \\ *Notes:* \\  \\ * A test that asserts nothing still passes. A clean run says the suite ran, not that it checked anything, and nothing in it has ever opened one of your charts.",Sprint 4,,S4 Analytics & ETL
LEAP1T1,Trading Domain Engine (Java and OOAD),Epic,Medium,"*Acceptance Criteria:* \\  \\ * The trading rules live in a plain Java 21 package with no Spring, no servlet API and no JDBC driver anywhere in the dependency tree. \\ * Entities, the three enumerations, a validated request DTO, an exception hierarchy over the six specified cases and business rules 1 to 8 are implemented in the domain. \\ * Tests are written before implementation and the fact is evidenced in the commit history. \\  \\ *Notes:* \\  \\ * Two callers read these rules. Sprint 6 wraps them in a Spring Boot controller and Sprint 7 calls them again from a Kafka consumer, in a different process, against a price that did not exist when the order was placed. A rule that leaked into a controller has to be written twice, and the two copies drift. \\ * Nothing here starts a container, opens a socket or reads an environment variable, and it should stay that way. \\ * Security focus: validation in the domain model, defensive coding, and error messages that carry no internal detail (OWASP A05).",Sprint 5,S5 Core Business Logic,
LEAP1T1,UML Class and Sequence Diagrams,Story,High,"*Acceptance Criteria:* \\  \\ * A class diagram of the domain and a sequence diagram of order placement are committed under design/ and match the code. \\  \\ *Tasks:* \\  \\ Draw every type you wrote, its fields, the operations that carry behaviour, the enumerations, the exception hierarchy and the relationships with their cardinality. \\ Draw one order arriving at the domain and the eight rules being evaluated in order, showing what is consulted at each step and where each failure leaves the flow. \\ Draw the refusal paths, not only the happy path. \\ Commit as Mermaid in design/class-diagram.md and design/sequence-diagram.md, or as an exported image. \\ Update the diagrams when the code moves. \\  \\ *Notes:* \\  \\ * The review walks the diagram against the code. An assessor picks a class off the diagram, opens it, and expects the fields, operations and relationships to match. Every team member walks the whole diagram, including the parts they did not write.",Sprint 5,,S5 Core Business Logic
LEAP1T1,Domain Entities,Story,High,"*Acceptance Criteria:* \\  \\ * Account, Instrument, Order and Position are implemented and match the domain model. \\  \\ *Tasks:* \\  \\ Give Account the behaviour that moves its own balance, and refuse a debit that would leave it negative before anything is subtracted. \\ Keep both account identifiers on Account and keep them distinguishable: the numeric key that the platform passes around, and the customer-facing reference quoted on a support call. \\ Have Account report the version it was loaded at, for the optimistic lock Sprint 6 applies. The domain does not take the lock. \\ Give Instrument the symbol as its natural key and let it answer whether it may be traded, which is business rule 3. \\ Give Order both prices and keep them apart: the limit price the customer submitted, and the executed price the Trade Executor achieves in Sprint 7, which does not exist until the order is filled. \\ Have Order refuse a transition that is not allowed, rather than leaving that to whoever called it. \\ Give Position the asymmetric average cost rule: a buy recalculates the average across the old holding and the new units, a sell reduces the quantity and leaves the average cost alone. \\ Represent money as a decimal at two decimal places and never as a double. \\  \\ *Notes:* \\  \\ * Keeping the cost basis intact through a sale is what makes realised profit and loss computable at the point of sale, and the Sprint 10 Portfolio extension depends on it. \\ * Short selling is out of scope, so a position never goes negative.",Sprint 5,,S5 Core Business Logic
LEAP1T1,"The Three Enumerations, Exactly",Story,High,"*Acceptance Criteria:* \\  \\ * AccountStatus holds exactly ACTIVE, SUSPENDED and CLOSED. OrderSide holds exactly BUY and SELL. OrderStatus holds exactly NEW, FILLED, REJECTED and CANCELLED. \\  \\ *Tasks:* \\  \\ Declare the three enumerations under your base package with no extra and no renamed literal. \\ Spell CANCELLED with two Ls. \\  \\ *Notes:* \\  \\ * These literals appear in contracts/trade-api.yaml, the Angular UI generates its types from that file in Sprint 9, and the database stores the same strings. A renamed or extra literal is a break in three places at once. \\ * There is no partial-fill literal, which is why the Trade Executor fills in full or rejects. \\ * Check the literals against the compiled classes with javap rather than against your source. One commented out, or spelled differently in two places, is easy to miss by eye.",Sprint 5,,S5 Core Business Logic
LEAP1T1,The Order Request DTO with Validation,Story,High,"*Acceptance Criteria:* \\  \\ * PlaceOrderRequest carries the six fields in contracts/trade-api.yaml and every constraint on them is enforced and tested. \\  \\ *Tasks:* \\  \\ Constrain the account key to the numeric account identifier, at least 1, and require it. \\ Constrain the symbol to a non-blank value within the contract's length limit. \\ Constrain the side to one of BUY or SELL. \\ Constrain the quantity to whole units greater than zero, which is business rule 4. \\ Constrain the price to greater than zero with at most two decimal places, which is business rule 5. \\ Constrain the idempotency key to the length range in the contract. \\ Keep the DTO in the domain, because those are business constraints rather than transport constraints. \\  \\ *Unit Test Execution Paths:* \\  \\ # a valid request passes every constraint \\ # a null required field is refused \\ # a non-positive quantity is refused \\ # a non-positive price is refused \\ # a price with three decimal places is refused \\ # an idempotency key either side of the length limits \\  \\ *Notes:* \\  \\ * Bean Validation annotations are the one framework the architecture allows inside the domain, and jakarta.validation-api is the only compile dependency in the scaffold. Validating by hand is allowed: what is assessed is that every constraint is enforced and tested.",Sprint 5,,S5 Core Business Logic
LEAP1T1,The Exception Hierarchy,Story,High,"*Acceptance Criteria:* \\  \\ * Six exception types cover account not found, account not active, instrument not found, insufficient funds, insufficient holdings and duplicate order, and all six descend from one domain base type. \\ * The base type carries the catalogue code, not an HTTP status. \\  \\ *Tasks:* \\  \\ Map each case to its code from contracts/trade-api.yaml: ACC-404, ACC-403, INS-404, ORD-400, ORD-409 for insufficient holdings and ORD-409 for a duplicate order. \\ Keep the message to the catalogue message and nothing else: no account key, no symbol, no amount, no class name, no SQL fragment. \\ Carry the values an investigation needs as typed fields on the exception, to be logged on the server. \\ Decide what your hierarchy does about a quantity or price that is out of range, since VAL-422 is a documented outcome with no member in the list of six, and be ready to defend it. \\ Record the six class names in the sprint README against the cases they cover. \\  \\ *Notes:* \\  \\ * One code can mean two things and one case can carry two codes. An unknown instrument and a suspended instrument both answer INS-404. Neither is an accident. \\ * Put a status on the exception and you have dragged the web layer into the domain a sprint early. Sprint 6 maps a code to a status in one place, and Sprint 7 maps the same code to a rejection reason on a Kafka event.",Sprint 5,,S5 Core Business Logic
LEAP1T1,"Business Rules 1 to 8, in Evaluation Order",Story,High,"*Acceptance Criteria:* \\  \\ * All eight rules are implemented in the domain and not in a controller, and the first failure wins with no later rule evaluated. \\  \\ *Tasks:* \\  \\ Enforce rule 1, the account must exist, then rule 2, the account must be ACTIVE, then rule 3, the instrument must exist and be tradable. \\ Enforce rules 4 and 5 in the domain as well as on the DTO, because the domain has to hold for a caller that never ran a validator. \\ Enforce rule 6 on a BUY, the cash balance at least quantity multiplied by price, and rule 7 on a SELL, the held quantity at least the order quantity. \\ Enforce rule 8, the idempotency key must not already have been used, and design the seam that lets it be testable here without a database. \\ Leave room for rule 9, cash and position move together or neither moves, and rule 10, every order is recorded including a rejected one. \\ Test the evaluation order itself, not only the eight rules. \\  \\ *Unit Test Execution Paths:* \\  \\ # each of the eight rules firing, as an isolated test \\ # each of the eight rules not firing, as an isolated test \\ # a suspended account holding no cash answers ACC-403 and not ORD-400 \\ # a domain object is not half mutated when a precondition fails \\  \\ *Notes:* \\  \\ * The order is part of the contract. The Angular order ticket branches on the code in Sprint 9. \\ * Rule 8's authority in Sprint 6 is the unique constraint you built in Sprint 3, not a read followed by a write. Two concurrent requests carrying the same key both pass a read-then-write check, and the side effect of losing that race is a duplicated trade.",Sprint 5,,S5 Core Business Logic
LEAP1T1,Test-First Development and the Three Named Classes,Story,High,"*Acceptance Criteria:* \\  \\ * AccountTest, OrderLogicTest and PlaceOrderRequestValidationTest exist by those names, are green, and carry at least 24 tests between them. \\ * The commit history shows the tests arriving before the implementation. \\  \\ *Tasks:* \\  \\ Commit a failing test on its own, with a message saying what it asserts, then the smallest implementation that turns it green, then a refactor where there is one. \\ Cover status, debit, credit, affordability, the refusal to go negative and money that does not drift over many operations in AccountTest. \\ Cover the eight rules firing and not firing, plus the evaluation order, in OrderLogicTest. \\ Cover every DTO constraint, including the boundary either side of each limit, in PlaceOrderRequestValidationTest. \\ Commit small, commit often and push as you go, so the history exists somewhere other than one laptop. \\  \\ *Notes:* \\  \\ * A history in which the test for a rule and the implementation of that rule first appear in the same commit does not pass, and a single commit at the end of the week holding the whole module fails outright. \\ * The named classes are a floor, not a target. Write the other classes your entities need.",Sprint 5,,S5 Core Business Logic
LEAP1T1,A Domain Module with No Framework on its Classpath,Story,High,"*Acceptance Criteria:* \\  \\ * mvn dependency:tree contains no Spring, servlet or JDBC artefact, including transitively, and the project builds and tests from a clean checkout. \\  \\ *Tasks:* \\  \\ Leave the banned-dependencies rule in pom.xml in place. It is the criterion enforced by the build rather than by good intentions. \\ Keep the base package name stable, because Sprint 6 takes these sources into the Trade REST API under that name. \\ Build and test from a clean checkout and fix what fails. \\  \\ *Notes:* \\  \\ * If you find yourself wanting to remove the rule, the thing you are about to add belongs in Sprint 6. \\ * There is nothing to install. Sprint 6 absorbs this package as source rather than resolving a published artifact, which is what lets a clean checkout of the platform build with one command. \\ * A green suite counts tests, it does not read them. Whether each rule is correct, in the right order and in the domain rather than in a caller is assessed at the review.",Sprint 5,,S5 Core Business Logic
LEAP1T1,Trade REST API (Spring Boot),Epic,Medium,"*Acceptance Criteria:* \\  \\ * A layered, Dockerised Spring Boot service implements contracts/trade-api.yaml over MyBatis against the Sprint 3 schema, calling the Sprint 5 domain for every rule. \\ * Every route under /api/v1/ verifies a JWT issued by the provided Node auth stub, and rejects a missing or invalid token with AUTH-401. \\ * Order placement is transactional and the account version column carries an optimistic lock. \\  \\ *Notes:* \\  \\ * The contract is the specification. It was written before the service existed so that the Angular application in Sprint 9 can generate a typed client from it without anyone reading your Java. \\ * services/auth-stub is provided. It is a fixture, not a deliverable: nothing in it is assessed and nothing in it is to be modified. It exists because Sprint 6 has to verify a real token and Node is not taught until Sprint 8. Start it with docker compose --profile platform up -d --build. \\ * In Sprint 6 there is no Trade Executor, so POST /api/v1/orders fills synchronously and answers FILLED or REJECTED. From Sprint 7 the same endpoint answers NEW. The contract documents both. \\ * Security focus: token verification before any controller runs, Bean Validation on request DTOs, and an error envelope that leaks nothing (OWASP A01, A03, A05).",Sprint 6,S6 Trade REST API,
LEAP1T1,Project Setup and the Layered Structure,Story,Medium,"*Acceptance Criteria:* \\  \\ * Controller, service and mapper layers exist with clear responsibilities, and no SQL appears in a controller and no HTTP type in the domain. \\  \\ *Tasks:* \\  \\ Add web, validation, MyBatis, the Postgres driver and the OpenAPI dependencies. \\ Bring the Sprint 5 domain in as source: copy the package into this project under the same base package, and record that package in the sprint README. There is no second artifact to build and no coordinates to keep in agreement. \\ Let the controller speak HTTP, DTOs, status codes and validation annotations only. \\ Let the service speak the domain package, the mappers and one transaction, and never take a servlet type, a request object or a status code as a parameter. \\ Let the mapper speak parameterised SQL and result mapping, and decide nothing. \\ Read every value that differs between a laptop and a container from an environment variable, with a default that works under Docker Compose. Commit no secret, including the development ones. \\  \\ *Notes:* \\  \\ * A query written in the class that handles the request cannot be tested without a web layer and cannot be reused by the service that needs the same rows next sprint. \\ * The domain package must still carry no servlet API type and no Spring annotation beyond validation. Nothing but review enforces that now that it sits in the same build, which is the form the rule takes in most real codebases. The Trade Executor in Sprint 7 applies the same rules in a process with no HTTP request in it at all.",Sprint 6,,S6 Trade REST API
LEAP1T1,The Six Endpoints Against the Contract,Story,High,"*Acceptance Criteria:* \\  \\ * POST /api/v1/orders, DELETE /api/v1/orders/{id}, GET /api/v1/accounts/{id}, /balance, /positions and /orders are implemented and match contracts/trade-api.yaml field for field. \\  \\ *Tasks:* \\  \\ Implement order placement and cancellation, returning the recorded order and the cancelled order in the contract's shapes. \\ Implement the four account reads, with positions limited to a net quantity above zero and order history newest first. \\ Match AccountResponse carefully: it is the one place in the platform where accountId means the string business reference, and AccountResponse.id is what every other endpoint calls accountId. \\ Return ORD-409 when cancelling an order that cannot be cancelled. \\  \\ *Unit Test Execution Paths:* \\  \\ # an order is placed and answers the contract shape \\ # an order is refused on a business-rule failure and answers the documented code \\ # a working order is cancelled successfully \\ # cancelling a filled or already cancelled order answers ORD-409 \\ # account, balance, positions and order history each answer for a valid account \\ # an unknown account answers ACC-404 \\  \\ *Integration Test* \\  \\ Place and cancel an order through the real controller, service and MyBatis persistence against Postgres, then read the account, balance, positions and order history back. \\  \\ *Notes:* \\  \\ * Getting AccountResponse wrong compiles, passes your own tests, and breaks the generated client in Sprint 9.",Sprint 6,,S6 Trade REST API
LEAP1T1,MyBatis Mappers with Parameterised Statements,Story,High,"*Acceptance Criteria:* \\  \\ * Every value arriving from outside the service is bound with #{}, and no ${} appears in any mapper statement, XML or annotation. \\  \\ *Tasks:* \\  \\ Write mapper interfaces in Java and statements in XML under src/main/resources/mapper/, or in annotations on the interface. \\ Bind the account key, the symbol, the status filter and every timestamp as parameters. \\ Return the affected row count from any mapper that updates, because a mapper returning void has thrown away the only evidence that anything happened. \\ If you need an interpolated column name or sort direction, check the value against a fixed list of permitted names first and record the file and the token in the sprint README as an allowlist entry. \\  \\ *Unit Test Execution Paths:* \\  \\ # an order row is inserted and read back \\ # an account and its positions read correctly \\ # a constraint violation surfaces rather than being swallowed \\  \\ *Notes:* \\  \\ * ${} is a string substitution performed before the statement reaches the driver. A symbol crafted by an attacker becomes part of the statement, and the account whose positions come back is whichever account they asked for. That is OWASP A03. \\ * The allowlist starts empty, and an entry in it is a question you will be asked in the review.",Sprint 6,,S6 Trade REST API
LEAP1T1,Transactional Order Placement,Story,High,"*Acceptance Criteria:* \\  \\ * Order placement is annotated @Transactional so that the order record, the cash movement and the position write succeed or fail together. \\  \\ *Tasks:* \\  \\ Put the transaction boundary around the work that has to be atomic, and nothing more. \\ Call the Sprint 5 domain for every rule. The service owns transport and persistence, not the decision. \\ Record the order whatever the outcome, including a rejection, because the order table is the audit trail. \\  \\ *Unit Test Execution Paths:* \\  \\ # a placed order commits the cash movement and the position together \\ # a failed order rolls back with no partial write \\ # a rejected order is still recorded",Sprint 6,,S6 Trade REST API
